corridor_name;shelter_name;number_of_transaction
BLOK M - KOTA;ASEAN;33500
BLOK M - KOTA;BENDUNGAN HILIR;9428
BLOK M - KOTA;BLOK M;131797
BLOK M - KOTA;BUNDARAN HI ASTRA;148054
BLOK M - KOTA;BUNDARAN SENAYAN;84103
BLOK M - KOTA;DUKUH ATAS;157876
BLOK M - KOTA;GLODOK;105216
BLOK M - KOTA;KARET;65822
BLOK M - KOTA;KEBON SIRIH ARAH KOTA;16044
BLOK M - KOTA;KEJAKSAAN AGUNG;14133
BLOK M - KOTA;KOTA;174282
BLOK M - KOTA;MANGGA BESAR ARAH KOTA;138738
BLOK M - KOTA;MASJID AGUNG;55300
BLOK M - KOTA;MH THAMRIN;79181
BLOK M - KOTA;MONUMEN NASIONAL;64537
BLOK M - KOTA;POLDA METRO JAYA;38272
BLOK M - KOTA;SENAYAN BANK DKI;47196
BLOK M - KOTA;TAMAN SARI;109507
BLOK M - KOTA;TELUK BETUNG;58372
KALIDERES - PASAR BARU;DAMAI;35245
KALIDERES - PASAR BARU;GROGOL;142525
KALIDERES - PASAR BARU;JELAMBAR;278832
KALIDERES - PASAR BARU;JEMBATAN BARU;162788
KALIDERES - PASAR BARU;JEMBATAN GANTUNG;146331
KALIDERES - PASAR BARU;KALIDERES;685992
KALIDERES - PASAR BARU;PASAR BARU;57181
KALIDERES - PASAR BARU;PESAKIH;102062
KALIDERES - PASAR BARU;PULO NANGKA;83577
KALIDERES - PASAR BARU;RAWA BUAYA;270371
KALIDERES - PASAR BARU;ROXY;213550
KALIDERES - PASAR BARU;SUMUR BOR;224563
KALIDERES - PASAR BARU;TAMAN KOTA;180081
LEBAK BULUS - HARMONI;DURI KEPA;93623
LEBAK BULUS - HARMONI;GROGOL II;43554
LEBAK BULUS - HARMONI;KEBAYORAN LAMA BUNGUR;37255
LEBAK BULUS - HARMONI;KEBON JERUK;98460
LEBAK BULUS - HARMONI;KEDOYA ASSIDIQQIYAH;36658
LEBAK BULUS - HARMONI;KEDOYA GREEN GARDEN;104947
LEBAK BULUS - HARMONI;KELAPA DUA SASAK;101346
LEBAK BULUS - HARMONI;LEBAK BULUS;258133
LEBAK BULUS - HARMONI;PERMATA HIJAU;23786
LEBAK BULUS - HARMONI;PERMATA HIJAU RS MEDIKA;53066
LEBAK BULUS - HARMONI;PETOJO;43451
LEBAK BULUS - HARMONI;PONDOK INDAH I;34705
LEBAK BULUS - HARMONI;PONDOK INDAH II;17345
LEBAK BULUS - HARMONI;PONDOK PINANG;100935
LEBAK BULUS - HARMONI;POS PENGUMBEN;38317
LEBAK BULUS - HARMONI;PS.KEBAYORAN LAMA;244158
LEBAK BULUS - HARMONI;RS TARAKAN;45825
LEBAK BULUS - HARMONI;S. PARMAN PODOMORO CITY ARAH PLUIT;94660
LEBAK BULUS - HARMONI;SIMPRUG;12137
LEBAK BULUS - HARMONI;TANAH KUSIR KODIM;47050
LEBAK BULUS - HARMONI;TOMANG MANDALA;64818
PULOGADUNG 1 - HARMONI;BALAI KOTA;47815
PULOGADUNG 1 - HARMONI;BERMIS;67250
PULOGADUNG 1 - HARMONI;CEMPAKA BARU;54710
PULOGADUNG 1 - HARMONI;CEMPAKA MAS;74949
PULOGADUNG 1 - HARMONI;GALUR;134995
PULOGADUNG 1 - HARMONI;GAMBIR;14849
PULOGADUNG 1 - HARMONI;GAMBIR 2;12836
PULOGADUNG 1 - HARMONI;ISTIQLAL;2057
PULOGADUNG 1 - HARMONI;JUANDA;539109
PULOGADUNG 1 - HARMONI;KWITANG;60605
PULOGADUNG 1 - HARMONI;PASAR CEMPAKA PUTIH;71569
PULOGADUNG 1 - HARMONI;PASAR SENEN;46120
PULOGADUNG 1 - HARMONI;PECENONGAN;56067
PULOGADUNG 1 - HARMONI;PEDONGKELAN;26776
PULOGADUNG 1 - HARMONI;PEJAMBON;3949
PULOGADUNG 1 - HARMONI;PERINTIS KEMERDEKAAN;55697
PULOGADUNG 1 - HARMONI;PULO GADUNG;602937
PULOGADUNG 1 - HARMONI;PULO MAS;96996
PULOGADUNG 1 - HARMONI;RAWA SELATAN;112394
PULOGADUNG 1 - HARMONI;RSPAD;18835
PULOGADUNG 1 - HARMONI;SENEN RAYA;6268
;;102273
