corridor_name;shelter_name;number_of_transaction
BLOK M - KOTA;ASEAN;107803
BLOK M - KOTA;BENDUNGAN HILIR;41520
BLOK M - KOTA;BLOK M;357745
BLOK M - KOTA;BUNDARAN HI ASTRA;488951
BLOK M - KOTA;BUNDARAN SENAYAN;434460
BLOK M - KOTA;DUKUH ATAS;152686
BLOK M - KOTA;GLODOK;221309
BLOK M - KOTA;KARET;647749
BLOK M - KOTA;KEBON SIRIH ARAH KOTA;47441
BLOK M - KOTA;KEJAKSAAN AGUNG;107173
BLOK M - KOTA;KOTA;205466
BLOK M - KOTA;MANGGA BESAR ARAH KOTA;87130
BLOK M - KOTA;MASJID AGUNG;95578
BLOK M - KOTA;MH THAMRIN;365560
BLOK M - KOTA;MONUMEN NASIONAL;282183
BLOK M - KOTA;POLDA METRO JAYA;217255
BLOK M - KOTA;SENAYAN BANK DKI;747408
BLOK M - KOTA;TAMAN SARI;104060
BLOK M - KOTA;TELUK BETUNG;325792
KALIDERES - PASAR BARU;DAMAI;34532
KALIDERES - PASAR BARU;GROGOL;121690
KALIDERES - PASAR BARU;JELAMBAR;264511
KALIDERES - PASAR BARU;JEMBATAN BARU;70372
KALIDERES - PASAR BARU;JEMBATAN GANTUNG;69573
KALIDERES - PASAR BARU;KALIDERES;207806
KALIDERES - PASAR BARU;PASAR BARU;124682
KALIDERES - PASAR BARU;PESAKIH;63598
KALIDERES - PASAR BARU;PULO NANGKA;40511
KALIDERES - PASAR BARU;RAWA BUAYA;127477
KALIDERES - PASAR BARU;ROXY;180735
KALIDERES - PASAR BARU;SUMUR BOR;61831
KALIDERES - PASAR BARU;TAMAN KOTA;89434
LEBAK BULUS - HARMONI;DURI KEPA;132147
LEBAK BULUS - HARMONI;GROGOL II;55679
LEBAK BULUS - HARMONI;KEBAYORAN LAMA BUNGUR;32841
LEBAK BULUS - HARMONI;KEBON JERUK;124462
LEBAK BULUS - HARMONI;KEDOYA ASSIDIQQIYAH;49066
LEBAK BULUS - HARMONI;KEDOYA GREEN GARDEN;93388
LEBAK BULUS - HARMONI;KELAPA DUA SASAK;58766
LEBAK BULUS - HARMONI;LEBAK BULUS;287447
LEBAK BULUS - HARMONI;PERMATA HIJAU;111490
LEBAK BULUS - HARMONI;PERMATA HIJAU RS MEDIKA;39050
LEBAK BULUS - HARMONI;PETOJO;182119
LEBAK BULUS - HARMONI;PONDOK INDAH I;92561
LEBAK BULUS - HARMONI;PONDOK INDAH II;209426
LEBAK BULUS - HARMONI;PONDOK PINANG;46942
LEBAK BULUS - HARMONI;POS PENGUMBEN;19785
LEBAK BULUS - HARMONI;PS.KEBAYORAN LAMA;120434
LEBAK BULUS - HARMONI;RS TARAKAN;120328
LEBAK BULUS - HARMONI;S. PARMAN PODOMORO CITY ARAH PLUIT;259402
LEBAK BULUS - HARMONI;SIMPRUG;24007
LEBAK BULUS - HARMONI;TANAH KUSIR KODIM;41495
LEBAK BULUS - HARMONI;TOMANG MANDALA;109875
PULOGADUNG 1 - HARMONI;BALAI KOTA;288898
PULOGADUNG 1 - HARMONI;BERMIS;24711
PULOGADUNG 1 - HARMONI;CEMPAKA BARU;42717
PULOGADUNG 1 - HARMONI;CEMPAKA MAS;252118
PULOGADUNG 1 - HARMONI;GALUR;52990
PULOGADUNG 1 - HARMONI;GAMBIR;49610
PULOGADUNG 1 - HARMONI;GAMBIR 2;44015
PULOGADUNG 1 - HARMONI;ISTIQLAL;10818
PULOGADUNG 1 - HARMONI;JUANDA;282951
PULOGADUNG 1 - HARMONI;KWITANG;67535
PULOGADUNG 1 - HARMONI;PASAR CEMPAKA PUTIH;39556
PULOGADUNG 1 - HARMONI;PASAR SENEN;73053
PULOGADUNG 1 - HARMONI;PECENONGAN;185518
PULOGADUNG 1 - HARMONI;PEDONGKELAN;14790
PULOGADUNG 1 - HARMONI;PEJAMBON;36206
PULOGADUNG 1 - HARMONI;PERINTIS KEMERDEKAAN;85812
PULOGADUNG 1 - HARMONI;PULO GADUNG;197357
PULOGADUNG 1 - HARMONI;PULO MAS;117836
PULOGADUNG 1 - HARMONI;RAWA SELATAN;44118
PULOGADUNG 1 - HARMONI;RSPAD;23199
PULOGADUNG 1 - HARMONI;SENEN RAYA;37582
PULOGADUNG 1 - HARMONI;SUMUR BATU;93848
